Drug,CNS,TPSA,TPSA_S,HBA,HBD,MW,nAtoms,cLogD_ACD_v15,mapKa,cLogP_Biobyte,mbpKa,cLogP_ACD_v15,ALogP98,Smiles
Atomoxetine,TRUE,21.26,21.26,2,1,255.35474,19,0.69,3.94,10.12,3.28,3.577,0.29,CC1=C(C=CC=C1)O[C@H](CCNC)C2=CC=CC=C2
Atropine,TRUE,49.77,49.77,4,1,289.36942,21,-0.94,1.3,9.98,1.53,1.721,0.59,CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)C(CO)c2ccccc2
Axitinib,TRUE,70.67,95.97,4,2,386.46952,28,4.15,3.33,4.06,4.15,4.492,0.05,O=C(NC)c4ccccc4Sc1ccc2c(c1)nnc2\C=C\c3ncccc3
Azatadine,TRUE,16.13,16.13,2,0,290.40208,22,3.52,3.56,8.74,4.97,4.084,0.35,n4c3\C(=C1/CCN(C)CC1)c2ccccc2CCc3ccc4
Baclofen,TRUE,63.31,63.31,3,2,213.66078,14,-0.94,4.04,-0.62,10.33,1.56,1.419,ClC1=CC=C(C(CC(O)=O)CN)C=C1
Benzphetamine,TRUE,3.24,3.24,1,0,239.35534,18,2.95,4.38,8.88,4.43,4.185,0.29,N(C)(Cc1ccccc1)[C@@H](C)Cc2ccccc2
Benztropine,TRUE,12.47,12.47,2,0,307.4293,23,2.14,3.52,10.54,4.96,3.875,0.43,CN4[C@@H]1CC[C@H]4C[C@H](C1)OC(c2ccccc2)c3ccccc3
Bepridil,TRUE,15.71,15.71,3,0,366.53956,27,4.06,6.2,9.21,5.8,5.265,0.5,O(CC(C)C)CC(N1CCCC1)CN(c2ccccc2)Cc3ccccc3
Bethanidine,TRUE,36.42,36.42,3,2,177.2462,13,-0.53,1.5,12.81,1.46,1.213,0.3,N(=C(/NCc1ccccc1)NC)\C
Bexarotene,TRUE,37.29,37.29,2,1,348.47791,26,5.63,4.08,8.19,8.55,6.405,0.38,O=C(O)c1ccc(cc1)C(/c2c(cc3c(c2)C(CCC3(C)C)(C)C)C)=C
Biperiden,TRUE,23.47,23.47,2,1,311.46106,23,2.17,4.94,9.58,4.01,3.648,0.62,OC(c1ccccc1)(CCN2CCCCC2)C4C3\C=C/C(C3)C4
Bromazepam,TRUE,54.35,54.35,3,1,316.1527,19,1.65,1.7,2,1.65,2.327,0.07,BrC1=CC2=C(C=C1)NC(CN=C2C3=CC=CC=N3)=O
Bromocriptine,TRUE,118.21,118.21,6,3,654.5945,43,5.08,6.58,6.72,5.15,4.363,0.59,BrC1=C(C[C@H]2N(C)C3)C4=C(C=CC=C4C2=C[C@H]3C(N[C@]5(C(C)C)O[C@@]6(N([C@@H](CC(C)C)C(N7CCC[C@H]76)=O)C5=O)O)=O)N1
Bromodiphenhydramine,TRUE,12.47,12.47,2,0,334.2508,20,3.11,4.32,8.71,4.43,4.133,0.29,Brc1ccc(cc1)C(OCCN(C)C)c2ccccc2
Brompheniramine,TRUE,16.13,16.13,2,0,319.23946,19,1.63,3.3,9.33,3.56,3.78,0.31,Brc1ccc(cc1)C(c2ncccc2)CCN(C)C
Buclizine,TRUE,6.48,6.48,2,0,433.02801,31,6.11,8.06,6.98,6.22,7.121,0.36,Clc1ccc(cc1)C(c2ccccc2)N3CCN(CC3)Cc4ccc(cc4)C(C)(C)C
Budipine,TRUE,3.24,3.24,1,0,293.44577,22,1.91,5.58,9.92,4.64,4.691,0.43,c1(ccccc1)C3(c2ccccc2)CCN(C(C)(C)C)CC3
Bumetanide,TRUE,118.72,127.1,6,3,364.4161,25,-0.19,3.18,3.37,4.48,2.78,2.862,O=S(=O)(c2cc(cc(NCCCC)c2Oc1ccccc1)C(=O)O)N
Buprenorphine,TRUE,62.16,62.16,5,2,467.64013,34,2.46,3.99,8.31,3.44,3.923,0.79,Oc7ccc5c1c7O[C@H]3[C@]6(OC)[C@H](C[C@@]2([C@H](N(CC[C@@]123)CC4CC4)C5)CC6)[C@@](O)(C)C(C)(C)C
Bupropion,TRUE,29.1,29.1,2,1,239.74112,16,3.27,3.21,7.16,3.47,3.12,0.46,O=C(C(C)NC(C)(C)C)C1=CC=CC(Cl)=C1
Buspirone,TRUE,69.64,69.64,6,0,385.50313,28,3.08,2.69,7.01,3.43,2.545,0.71,O=C1N(CCCCN2CCN(CC2)C3=NC=CC=N3)C(CC4(CCCC4)C1)=O
Butabarbital,TRUE,75.27,75.27,3,2,212.24564,15,1.41,7.71,1.58,1.52,1.841,0.7,O=C1NC(=O)NC(=O)C1(C(C)CC)CC
Cabergoline,TRUE,71.67,71.67,4,2,451.60427,33,0.55,4.17,9.41,2.43,3.56,0.54,O=C(NCC)N(C(=O)[C@@H]2C[C@@H]3c4cccc1c4c(cn1)C[C@H]3N(C2)C\C=C)CCCN(C)C
Caffeine,TRUE,58.44,58.44,3,0,194.19059,14,-0.13,-0.04,-0.13,0.424,0.38,1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Carbamazepine,TRUE,46.33,46.33,1,1,236.26858,18,2.67,2.38,2.67,2.679,0,2,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N
Carbinoxamine,TRUE,25.36,25.36,3,0,290.78786,20,1.5,2.67,8.65,2.76,3.22,0.31,Clc1ccc(cc1)C(OCCN(C)C)c2ncccc2
Carisoprodol,TRUE,90.65,90.65,4,2,260.32996,18,2.15,2.34,2.15,2.199,0.83,0,O=C(OCC(COC(=O)NC(C)C)(C)CCC)N
Carvedilol,TRUE,75.74,75.74,5,3,406.47424,30,3.1,4.04,8.38,4.12,4.014,0.25,O(c4ccccc4OCCNCC(O)COc3cccc2c3c1c(cccc1)n2)C
Cevimeline,TRUE,12.47,37.77,3,0,199.31308,13,-0.84,1.14,9.51,1.23,1.035,1,O1[C@H](SC[C@@]12CN3CCC2CC3)C
Chlophedianol,TRUE,23.47,23.47,2,1,289.7998,20,2.16,3.63,9.43,3.81,3.559,0.29,Clc1ccccc1C(O)(c2ccccc2)CCN(C)C
Chloramphenicol,TRUE,115.38,115.38,5,3,323.12937,20,1.02,1.28,1.02,1.025,0.36,1,c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
Chlordiazepoxide,TRUE,53.14,53.14,3,1,299.75486,21,2.16,3.79,2.38,2.16,2.297,0.12,ClC1=CC2=C(N=C(NC)C[N+]([O-])=C2C3=CC=CC=C3)C=C1
Chlormezanone,TRUE,54.45,62.83,3,0,273.73587,17,0.86,1.57,0.86,1.559,0.36,1,O=S1(CCC(N(C)C1C2=CC=C(C=C2)Cl)=O)=O
Chlorphentermine,TRUE,26.02,26.02,1,1,183.67786,12,0.46,2.85,9.76,2.75,2.503,0.4,Clc1ccc(cc1)CC(N)(C)C
Chlorpromazine,TRUE,6.48,31.78,3,0,318.86415,21,3.26,5.3,9.41,5.2,4.739,0.29,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl
Chlorprothixene,TRUE,3.24,28.54,2,0,315.86021,21,4.41,5.48,9.05,6.05,5.124,0.22,Clc2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN(C)C
Chlorzoxazone,TRUE,38.33,38.33,2,1,169.56515,11,2.15,1.87,2.19,2.004,0,1,Clc2cc1c(OC(=O)N1)cc2
Cilostazol,TRUE,81.93,81.93,5,1,369.46067,27,3.05,3.53,2.19,3.05,3.579,0.6,O=C4Nc3c(cc(OCCCCc1nnnn1C2CCCCC2)cc3)CC4
Cinacalcet,TRUE,12.03,12.03,1,1,357.41198,26,3.96,6.35,9.19,5.74,5.956,0.27,FC(F)(F)c1cccc(c1)CCCN[C@@H](c3c2ccccc2ccc3)C
Citalopram,TRUE,36.26,36.26,3,0,324.39194,24,0.39,3.13,9.57,2.51,3.721,0.35,Fc1ccc(cc1)C3(OCc2cc(C#N)ccc23)CCCN(C)C
Clemastine,TRUE,12.47,12.47,2,0,343.89024,24,3.04,5.45,10.23,5.69,4.806,0.43,Clc1ccc(cc1)[C@](OCC[C@@H]2N(C)CCC2)(c3ccccc3)C
Clidinium,TRUE,46.53,46.53,3,1,352.44674,26,0.83,-0.05,0.83,1.795,0.41,2,O=C(OC2C1CC[N+](CC1)(C)C2)C(O)(c3ccccc3)c4ccccc4
Clobazam,TRUE,40.62,40.62,2,0,300.73962,21,1.67,2.44,1.69,2.738,0.12,2,ClC1=CC(N(C2=CC=CC=C2)C(CC(N3C)=O)=O)=C3C=C1
Clomipramine,TRUE,6.48,6.48,2,0,314.85232,22,3.41,5.92,9.46,5.39,5.052,0.37,ClC1=CC(N(CCCN(C)C)C2=C(CC3)C=CC=C2)=C3C=C1
Clonazepam,TRUE,87.28,87.28,4,1,315.71119,22,2.34,2.38,2.34,2.859,0.07,2,[O-][N+](C1=CC2=C(C=C1)NC(CN=C2C3=CC=CC=C3Cl)=O)=O
Clozapine,TRUE,30.86,30.86,4,1,326.82326,23,1.96,3.71,7.14,2.36,3.422,0.28,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl
Cycloserine,TRUE,64.34,64.34,3,2,102.09194,7,-1.85,-1.19,5.93,-1.84,-1.788,0.67,O=C1NOC[C@H]1N
Danazol,TRUE,46.26,46.26,2,1,337.45527,25,4.7,3.93,4.7,4.874,0.68,1,C#C[C@]5(O)CC[C@H]4[C@H]3[C@@H]([C@@]2(/C(=C\c1oncc1C2)CC3)C)CC[C@@]45C
Dapsone,TRUE,86.18,94.56,4,2,248.30088,17,0.94,0.89,0.94,1.439,0,2,O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2
Dasatinib,TRUE,106.51,134.75,8,3,488.00553,33,1.84,3.03,6.59,2.25,3.769,0.36,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl
Desloratadine,FALSE,24.92,24.92,2,1,310.82056,22,4.11,3.83,10.27,6.77,4.213,0.32,Clc4cc2c(C(/c1ncccc1CC2)=C3/CCNCC3)cc4
Desvenlafaxine,TRUE,43.7,43.7,3,2,263.3752,19,0.52,2.68,9.33,2.26,2.796,0.62,OC2(C(c1ccc(O)cc1)CN(C)C)CCCCC2
Dexmethylphenidate,TRUE,38.33,38.33,3,1,233.30615,17,0.47,2.56,9.51,2.54,2.18,0.5,O=C([C@@H]([C@@H]1NCCCC1)C2=CC=CC=C2)OC
Dextromethorphan,TRUE,12.47,12.47,2,0,271.3972,20,2.39,3.94,9.13,4.11,3.674,0.67,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc4c3cc(cc4)OC
Dicyclomine,TRUE,29.54,29.54,3,0,309.4867,22,4.23,6.14,9.24,6.05,5.105,0.95,O=C(OCCN(CC)CC)C1(CCCCC1)C2CCCCC2
Diethylpropion,TRUE,20.31,20.31,2,0,205.29606,15,1.84,2.85,8.49,2.95,2.757,0.46,O=C(c1ccccc1)C(N(CC)CC)C
Difenoxin,TRUE,64.33,64.33,4,1,424.53412,32,2.53,3.55,2.13,9.17,5.04,5.114,C(CCN1CCC(CC1)(C(O)=O)C2=CC=CC=C2)(C3=CC=CC=C3)(C4=CC=CC=C4)C#N
Dihydrocodeine,TRUE,41.93,41.93,4,1,301.38011,22,0.26,1.26,8.43,1.39,1.947,0.67,O[C@@H]1[C@@H]2OC3=C(OC)C=CC4=C3[C@@]2([C@H]5CC1)CCN(C)[C@@H]5C4
Diltiazem,TRUE,59.08,84.38,6,0,414.51783,29,2.26,3.65,8.94,3.63,3.093,0.36,O=C2N(c3c(S[C@@H](c1ccc(OC)cc1)[C@H]2OC(=O)C)cccc3)CCN(C)C
Diphenylpyraline,TRUE,12.47,12.47,2,0,281.39202,21,3.49,3.21,8.78,4.54,3.357,0.37,O(C(c1ccccc1)c2ccccc2)C3CCN(C)CC3
Disulfiram,TRUE,6.48,121.26,4,0,296.5392,16,3.88,3.88,3.88,4.551,0.8,0,CCN(CC)C(=S)SSC(=S)N(CC)CC
Dolasetron,TRUE,62.4,62.4,4,1,324.3737,24,2.79,2.34,6.22,2.82,2.035,0.47,O=C5CN4[C@@H]1C[C@H]5C[C@H]4C[C@H](C1)OC(=O)c3cnc2ccccc23
Donepezil,TRUE,38.77,38.77,4,0,379.49195,28,3.27,4.6,8.84,4.71,4.569,0.46,O=C2c1cc(OC)c(OC)cc1CC2CC4CCN(Cc3ccccc3)CC4
Dronabinol,TRUE,29.46,29.46,2,1,314.4617,23,7.68,7.24,7.68,6.109,0.62,1,CCCCCc1cc(c2c(c1)OC([C@H]3[C@H]2C=C(CC3)C)(C)C)O
Dronedarone,TRUE,88.85,97.22,5,1,556.75645,39,5.4,8.57,9.44,7.58,7.015,0.52,O=S(=O)(Nc3cc1c(oc(c1C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)CCCC)cc3)C
Duloxetine,TRUE,21.26,49.5,2,1,297.41456,21,1.24,4.26,10.02,3.73,3.618,0.22,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
Dutasteride,TRUE,58.2,58.2,2,2,528.52971,37,5.61,4.94,5.61,5.703,0.63,1,FC(F)(F)c1cc(c(cc1)C(F)(F)F)NC(=O)[C@@H]3[C@]2(CC[C@H]4[C@H]([C@@H]2CC3)CC[C@H]5NC(=O)\C=C/[C@]45C)C
Efavirenz,TRUE,38.33,38.33,2,1,315.67496,21,4.84,3.73,4.84,4.381,0.36,1,FC(F)([C@]1(OC(NC2=CC=C(C=C21)Cl)=O)C#CC3CC3)F
Eletriptan,TRUE,53.17,61.55,3,1,382.51903,27,0.33,3.35,10.35,3.08,4.438,0.36,O=S(=O)(c1ccccc1)CCc4ccc2c(c(cn2)C[C@@H]3N(C)CCC3)c4
Eliglustat,TRUE,71.03,71.03,5,2,404.54293,29,2.08,4.83,9.59,3.61,3.808,0.7,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O
Entacapone,TRUE,130.38,130.38,6,2,305.286,22,0.36,5.15,1.76,2.38,1.658,0.29,[O-][N+](=O)c1cc(\C=C(/C#N)C(=O)N(CC)CC)cc(O)c1O
Enzalutamide,TRUE,76.44,108.53,4,1,464.43595,32,2.13,3.35,2.13,4.334,0.24,2,N#Cc1c(C(F)(F)F)cc(N2C(C(C)(C)N(c3ccc(C(N(C)[H])=O)c(F)c3)C2=S)=O)cc1
Erlotinib,TRUE,74.73,74.73,7,1,393.43572,29,2.38,4.34,5.06,2.39,4.309,0.27,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C
Eszopiclone,TRUE,91.76,91.76,7,0,388.80827,27,-0.41,1.25,6.29,-0.33,1.386,0.35,O=C(O[C@H]3c1nccnc1C(=O)N3c2ncc(Cl)cc2)N4CCN(C)CC4
Ethchlorvynol,TRUE,20.23,20.23,1,1,144.59876,9,2.06,1.57,2.06,2.263,0.43,0,Cl[C@H]=CC(C#C)(O)CC
Ethinamate,TRUE,52.32,52.32,2,1,167.20502,12,1.47,1.92,1.47,2.717,0.67,0,O=C(OC1(C#C)CCCCC1)N
Ethionamide,TRUE,38.9,71,2,1,166.2434,11,1.22,1.73,4.34,1.22,1.53,0.25,S=C(c1ccnc(c1)CC)N
Ethopropazine,TRUE,6.48,31.78,3,0,312.47225,22,3.51,5.46,9.88,5.84,5.088,0.37,S2c1ccccc1N(c3c2cccc3)CC(N(CC)CC)C
Ethosuximide,TRUE,46.17,46.17,2,1,141.16773,10,0.38,0.4,0.38,0.737,0.71,0,O=C1NC(=O)CC1(C)CC
Ethotoin,TRUE,49.41,49.41,2,1,204.22518,15,0.77,1.48,0.86,1.637,0.27,1,O=C2NC(c1ccccc1)C(=O)N2CC
Ezogabine,TRUE,76.38,76.38,4,3,303.33142,22,0.8,2,5.25,0.81,2.793,0.19,O=C(OCC)Nc1ccc(cc1N)NCc2ccc(F)cc2
Famotidine,TRUE,175.83,237.75,9,4,337.4454,20,-1.03,-0.58,7.93,-0.4,-1.135,0.38,O=S(=O)(N=C(N)CCSCc1nc(/N=C(/N)N)sc1)N
Febuxostat,TRUE,83.21,111.45,5,1,316.37483,22,1.73,4.1,3.18,4.87,3.514,0.31,N#Cc1c(OCC(C)C)ccc(c1)c2nc(c(s2)C(=O)O)C
Felbamate,TRUE,104.64,104.64,4,2,238.23986,17,1.2,0.5,1.2,0.984,0.27,1,O=C(OCC(c1ccccc1)COC(=O)N)N
Felodipine,TRUE,64.63,64.63,5,1,384.25375,25,4.83,5.3,2.73,4.83,3.549,0.33,O=C(OCC)\C1=C(\N/C(=C(/C(=O)OC)C1c2cccc(Cl)c2Cl)C)C
Fenofibrate,TRUE,52.6,52.6,4,0,360.83134,25,4.8,5.23,4.8,5.111,0.3,2,O=C(c1ccc(Cl)cc1)c2ccc(OC(C(=O)OC(C)C)(C)C)cc2
Fentanyl,TRUE,23.55,23.55,2,0,336.47052,25,2.81,3.62,8.78,3.89,3.838,0.41,O=C(CC)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Finasteride,TRUE,58.2,58.2,2,2,372.54414,27,3.24,3.01,3.24,3.174,0.83,0,O=C(NC(C)(C)C)[C@@H]2[C@]1(CC[C@H]3[C@H]([C@@H]1CC2)CC[C@H]4NC(=O)\C=C/[C@]34C)C
Fingolimod,TRUE,66.48,66.48,3,3,307.47082,22,2.8,5.06,8.71,5.25,4.199,0.68,OCC(N)(CCc1ccc(cc1)CCCCCCCC)CO
Flibanserin,TRUE,38.82,38.82,3,1,390.40214,28,4.01,5.24,7.98,4.07,3.609,0.35,FC(F)(F)c4cc(N3CCN(CCN2c1ccccc1NC2=O)CC3)ccc4
Fluconazole,TRUE,81.64,81.64,5,1,306.27078,22,0.5,-0.44,2.94,0.5,0.75,0.23,Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3
Flucytosine,TRUE,67.48,67.48,3,2,129.09246,9,-2.81,-1.64,2.9,-2.36,-0.618,0,FC=1\C=N/C(=O)NC=1N
Fluoxetine,TRUE,21.26,21.26,2,1,309.32612,22,1.56,4.57,10.06,4.09,4.033,0.29,CNCCC(c1ccccc1)Oc2ccc(cc2)C(F)(F)F
Flurazepam,TRUE,35.9,35.9,3,0,387.87822,27,1.64,4.21,9.79,4,4.213,0.33,FC1=CC=CC=C1C2=NCC(N(CCN(CC)CC)C3=C2C=C(C=C3)Cl)=O
Flurbiprofen,TRUE,37.29,37.29,2,1,244.26092,18,0.98,4.14,3.75,4.12,3.68,0.13,Fc2cc(ccc2c1ccccc1)C(C(=O)O)C
Fluvoxamine,TRUE,56.84,56.84,4,1,318.33464,22,1.15,3.32,9.39,3.11,2.738,0.53,FC(F)(F)c1ccc(\C(=N\OCCN)CCCCOC)cc1
Frovatriptan,TRUE,70.91,70.91,2,3,243.30428,18,-2,0.72,10.38,0.85,1.414,0.36,O=C(N)c3ccc1c(c2c(n1)CC[C@@H](NC)C2)c3
Gabapentin,TRUE,63.31,63.31,3,2,171.23678,12,-1.31,4.72,-0.66,10.27,1.19,0.993,O=C(O)CC1(CN)CCCCC1
Galantamine,TRUE,41.93,41.93,4,1,287.35353,21,1.12,1.02,7.92,1.75,1.442,0.53,O(c2c1O[C@H]4C[C@@H](O)/C=C\[C@@]43c1c(cc2)CN(C)CC3)C
Gemfibrozil,TRUE,46.53,46.53,3,1,250.33337,18,1.77,4.75,3.94,4.39,4.172,0.53,O=C(O)C(C)(C)CCCOc1cc(ccc1C)C
Granisetron,TRUE,50.16,50.16,3,1,312.40936,23,-1.42,1.72,10.5,1.47,2.401,0.56,CN4[C@@H]1CCC[C@H]4C[C@H](C1)NC(=O)c3nn(C)c2ccccc23
Guanabenz,TRUE,76.75,76.75,4,2,231.08192,14,2.05,1.35,7.66,2.49,2.192,0,Clc1cccc(Cl)c1\C=N\N=C(/N)N
Guanfacine,TRUE,81.47,81.47,4,2,246.09326,15,1.6,1.25,5.29,1.61,2.03,0.11,Clc1cccc(Cl)c1CC(=O)\N=C(/N)N
Halazepam,TRUE,32.67,32.67,2,0,352.73818,24,4.22,3.75,2.61,4.22,4.178,0.18,FC(F)(CN1C(CN=C(C2=CC=CC=C2)C3=C1C=CC(Cl)=C3)=O)F
Halofantrine,TRUE,23.47,23.47,2,1,500.4237,33,6.74,9.31,9.44,8.72,8.2,0.46,FC(F)(F)c3ccc2c(cc1c(Cl)cc(Cl)cc1c2c3)C(O)CCN(CCCC)CCCC
Haloperidol,TRUE,40.54,40.54,3,1,375.86422,26,2.19,3.85,8.49,3.01,3.887,0.38,c1cc(ccc1C(=O)CCCN2CCC(CC2)(c3ccc(cc3)Cl)O)F
Hydroxyzine,TRUE,35.94,35.94,4,1,374.90427,26,1.95,4,7.79,2.03,3.467,0.43,Clc1ccc(cc1)C(c2ccccc2)N3CCN(CC3)CCOCCO
Ibuprofen,TRUE,37.29,37.29,2,1,206.28082,15,0.8,4.41,3.68,3.72,3.607,0.46,CC(C)Cc1ccc(cc1)C(C)C(=O)O
Iloperidone,TRUE,64.8,64.8,5,0,426.48058,31,2.74,3.92,8.68,3.81,4.016,0.42,O=C(c4ccc(OCCCN3CCC(c2noc1cc(F)ccc12)CC3)c(OC)c4)C
Indomethacin,TRUE,68.53,68.53,4,1,357.78763,25,-0.16,4.26,4.18,3.1,4.235,0.16,Cc1c(c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC)CC(=O)O
Isocarboxazid,TRUE,67.16,67.16,3,2,231.25052,17,1.03,0.99,3.32,1.03,1.546,0.17,O=C(NNCc1ccccc1)c2noc(c2)C
Isotretinoin,TRUE,37.29,37.29,2,1,300.43512,22,4.14,4.67,6.74,6.83,5.551,0.45,O=C(O)\C=C(/C=C/C=C(/C=C/C1=C(/CCCC1(C)C)C)C)C
Isradipine,TRUE,103.55,103.55,7,1,371.38714,27,3.59,3.92,2.56,3.59,2.168,0.37,O=C(OC)\C3=C(\N\C(=C(\C(=O)OC(C)C)C3c1cccc2nonc12)C)C
Ketoprofen,TRUE,54.37,54.37,3,1,254.28056,19,-0.25,4.23,2.76,2.81,3.361,0.12,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)O
Lacosamide,TRUE,67.43,67.43,3,2,250.29361,18,0.9,0.39,0.9,2.10E-02,0.38,1,O=C(N[C@@H](C(=O)NCc1ccccc1)COC)C
Lamotrigine,TRUE,90.71,90.71,5,2,256.09137,16,-0.19,2.53,5.39,-0.19,2.426,0,NC1=NC(N)=NN=C1C2=CC=CC(Cl)=C2Cl
Lenalidomide,TRUE,92.5,92.5,4,2,259.26061,19,-1.39,-0.41,2.77,-1.39,-0.32,0.31,O=C1NC(=O)CCC1N3C(=O)c2cccc(c2C3)N
Letrozole,TRUE,78.29,78.29,4,0,285.30274,22,1.92,1.43,1.92,2.749,0.06,3,N#Cc1ccc(cc1)C(c2ccc(C#N)cc2)n3ncnc3
Levamisole,TRUE,15.6,40.9,3,0,204.29137,14,-0.06,1.84,10,1.84,2.29,0.36,N\2=C1/SCCN1C[C@@H]/2c3ccccc3
Levetiracetam,TRUE,63.4,63.4,2,1,170.20896,12,-0.67,-0.34,-0.67,-0.304,0.75,0,O=C1N([C@H](C(=O)N)CC)CCC1
Levodopa,TRUE,103.78,103.78,5,4,197.18793,14,-2.74,2.24,-2.82,8.85,-0.23,0.39,O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1
Levomepromazine,TRUE,15.71,41.01,4,0,328.47166,23,3.04,4.83,9.32,4.94,4.507,0.37,O(c2cc1N(c3c(Sc1cc2)cccc3)C[C@H](C)CN(C)C)C
Levomethadyl,TRUE,29.54,29.54,3,0,353.49773,26,3.48,4.59,9.4,5.45,4.738,0.43,[C@H](C(C1=CC=CC=C1)(C2=CC=CC=C2)C[C@@H](N(C)C)C)(OC(C)=O)CC
Levomilnacipran,TRUE,46.33,46.33,2,1,246.34798,18,-1.52,1.91,10.36,1.23,1.288,0.53,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2
Levopropoxyphene,TRUE,29.54,29.54,3,0,339.47116,25,3.66,5.21,9.19,5.44,4.71,0.41,CCC(=O)OC(Cc1ccccc1)(c2ccccc2)C(C)CN(C)C
Lidocaine,TRUE,32.34,32.34,2,1,234.33728,17,1.84,1.95,8.53,2.36,2.626,0.5,O=C(Nc1c(cccc1C)C)CN(CC)CC
Lofexidine,TRUE,33.61,33.61,3,1,259.13178,16,1.73,3.46,9.8,3.59,2.765,0.36,Clc2c(OC(C/1=N/CCN\1)C)c(Cl)ccc2
Lomustine,TRUE,61.77,61.77,3,1,233.69524,15,2.76,2.75,2.76,3.469,0.89,0,O=C(NC1CCCCC1)N(N=O)CCCl
Loratadine,TRUE,42.43,42.43,3,0,382.88321,27,5.94,5.05,4.22,5.94,5,0.36,O=C(OCC)N4CC/C(=C2/c1ccc(Cl)cc1CCc3cccnc23)CC4
Lorazepam,TRUE,61.69,61.69,3,2,321.15809,21,2.47,2.37,2.47,3.509,0.07,2,ClC1=CC=CC=C1C2=NC(C(NC3=C2C=C(C=C3)Cl)=O)O
Lorcainide,TRUE,23.55,23.55,2,0,370.91558,26,3.18,4.48,9.31,4.9,4.356,0.41,Clc3ccc(N(C(=O)Cc1ccccc1)C2CCN(C(C)C)CC2)cc3
Lorcaserin,TRUE,12.03,12.03,1,1,195.68856,13,0.41,3.24,9.99,2.89,2.747,0.45,Clc1cc2c(cc1)CCNC[C@@H]2C
Losartan,TRUE,92.51,92.51,5,2,422.91062,30,1.58,4.5,3.85,4.41,3.56,4.59,Clc1nc(n(c1CO)Cc4ccc(c2ccccc2c3nnnn3)cc4)CCCC
Lovastatin,TRUE,72.83,72.83,5,1,404.53963,29,4.07,4.08,4.07,4.218,0.75,0,O=C(O[C@@H]1[C@H]3C(=C/[C@H](C)C1)\C=C/[C@@H]([C@@H]3CC[C@H]2OC(=O)C[C@H](O)C2)C)[C@@H](C)CC
Lurasidone,TRUE,56.75,84.99,5,0,492.67603,35,3.66,6.12,8.41,4.52,5.375,0.68,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O
Maprotiline,TRUE,12.03,12.03,1,1,277.40331,21,1.66,4.52,10.62,4.51,4.116,0.4,CNCCC[C@@]12C3=CC=CC=C3[C@@H](C4=CC=CC=C14)CC2
Maraviroc,TRUE,63.05,63.05,4,1,513.66554,37,1.07,3.26,10.24,3.6,3.921,0.69,Cc5nnc(n5[C@@H]1C[C@H]4CC[C@@H](C1)N4CC[C@H](NC(=O)C2CCC(F)(F)CC2)c3ccccc3)C(C)C
Mazindol,TRUE,35.83,35.83,3,1,284.74022,20,-0.72,3.38,13.1,1.28,2.963,0.19,ClC1=CC=C(C2(C3=CC=CC=C3C4=NCCN42)O)C=C1
Mecamylamine,TRUE,12.03,12.03,1,1,167.29113,12,0.01,2.83,11.35,3.06,2.183,1,N([C@@]2([C@@H]1CC[C@@H](C1)C2(C)C)C)C
Mefloquine,TRUE,45.15,45.15,3,2,378.31215,26,1.14,3.67,9.24,2.87,4.302,0.47,FC(F)(F)c2cccc1c(cc(nc12)C(F)(F)F)[C@H](O)[C@@H]3NCCCC3
Memantine,TRUE,26.02,26.02,1,1,179.30184,13,0.26,3.03,10.79,3.18,1.907,1,NC12CC3(CC(C1)(CC(C2)C3)C)C
Meperidine,TRUE,29.54,29.54,3,0,247.33274,18,1.78,2.23,8.44,2.35,2.445,0.53,O=C(C1(CCN(CC1)C)C2=CC=CC=C2)OCC
Mesoridazine,TRUE,23.55,68.06,4,0,386.57393,26,1.58,4.44,9.63,3.98,4.451,0.43,O=S(c2cc1N(c3c(Sc1cc2)cccc3)CCC4N(C)CCCC4)C
