denomination;categorie;avant_montant;conv_montant;remu_montant
Laboratoire PEDIACT;Association professionnel de santé;;0;
Laboratoire PEDIACT;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
Laboratoire PEDIACT;Presse et média;;0;
Laboratoire SCIENCEX;Académies, Fondation, sociétés savantes, organismes de conseils;;10000;
Laboratoire TRADIPHAR;Presse et média;;0;
laboratoire TVM;Académies, Fondation, sociétés savantes, organismes de conseils;;91900;178178
laboratoire TVM;Association d'étudiants;;1459;1398
laboratoire TVM;Association professionnel de santé;;2797;2602
laboratoire TVM;Presse et média;;0;321353
LABORATOIRE UNITHER;Académies, Fondation, sociétés savantes, organismes de conseils;;119760;
LABORATOIRES ALCON;Académies, Fondation, sociétés savantes, organismes de conseils;;0;232002
LABORATOIRES ALCON;Association d'étudiants;;0;1000
LABORATOIRES ALCON;Association usager de santé;;0;7000
LABORATOIRES ANIOS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;10000;
Laboratoires ARKOPHARMA;Etudiant;;0;
Laboratoires AUVEX;Académies, Fondation, sociétés savantes, organismes de conseils;;0;5184
Laboratoires AUVEX;Association d'étudiants;;500;1900
Laboratoires AUVEX;Association professionnel de santé;;200;4026
Laboratoires AUVEX;Presse et média;;5184;117386
LABORATOIRES BOUCHARA - RECORDATI;Académies, Fondation, sociétés savantes, organismes de conseils;;552503;
LABORATOIRES BOUCHARA - RECORDATI;Presse et média;;;14747
LABORATOIRES BROTHIER;Académies, Fondation, sociétés savantes, organismes de conseils;;11420;48548
LABORATOIRES BROTHIER;Association professionnel de santé;;11400;18600
LABORATOIRES BROTHIER;Association usager de santé;;500;
LABORATOIRES BROTHIER;Editeur de logiciel;;4788;4788
LABORATOIRES BROTHIER;Etablissement de santé;;540;3182
LABORATOIRES BROTHIER;Presse et média;;67426;84563
LABORATOIRES COLOPLAST;Académies, Fondation, sociétés savantes, organismes de conseils;;27684;3050
LABORATOIRES COLOPLAST;Association professionnel de santé;;89180;10800
LABORATOIRES COLOPLAST;Association usager de santé;;4730;100
LABORATOIRES COLOPLAST;Etablissement de santé;;28390;1190
LABORATOIRES COLOPLAST;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;900;1000
LABORATOIRES CONVATEC;Association professionnel de santé;;0;
LABORATOIRES CTRS;Académies, Fondation, sociétés savantes, organismes de conseils;;;67175
LABORATOIRES CTRS;Association d'étudiants;;70;70
LABORATOIRES CTRS;Professionnel de santé;;0;44700
Laboratoires CYCLOPHARMA;Etudiant;;150;
LABORATOIRES ERSA;Académies, Fondation, sociétés savantes, organismes de conseils;;;63976
Laboratoires Expanscience;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Laboratoires Expanscience;Association professionnel de santé;;19097;36297
Laboratoires Expanscience;Association usager de santé;;10000;10000
Laboratoires Expanscience;Etablissement de santé;;0;
Laboratoires Expanscience;Presse et média;;10000;
LABORATOIRES GENEVRIER;Etablissement de santé;;62715;90504
LABORATOIRES GENEVRIER;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;411012;536564
LABORATOIRES GENEVRIER;Presse et média;;906785;929785
LABORATOIRES GILBERT;Académies, Fondation, sociétés savantes, organismes de conseils;;14273;
LABORATOIRES GILBERT;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;46240;
Laboratoires Grünenthal SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;1027621
Laboratoires Grünenthal SAS;Association professionnel de santé;;0;293744
Laboratoires Grünenthal SAS;Etablissement de santé;;0;319034
Laboratoires Juva Santé;Académies, Fondation, sociétés savantes, organismes de conseils;;19228;
Laboratoires Juva Santé;Etablissement de santé;;17263;
Laboratoires Juva Santé;Presse et média;;23002;
Laboratoires Juva Santé;Professionnel de santé;;250;
LABORATOIRES JUVISE PHARMACEUTICALS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
LABORATOIRES JUVISE PHARMACEUTICALS;Editeur de logiciel;;0;
LABORATOIRES JUVISE PHARMACEUTICALS;Presse et média;;0;
LABORATOIRES JUVISE PHARMACEUTICALS;Professionnel de santé;;0;
Laboratoires Leurquin Mediolanum;Académies, Fondation, sociétés savantes, organismes de conseils;;12500;
Laboratoires Leurquin Mediolanum;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
LABORATOIRES M&L;Professionnel de santé;;0;29832
LABORATOIRES MAYOLY SPINDLER;Académies, Fondation, sociétés savantes, organismes de conseils;;978504;720126
LABORATOIRES MAYOLY SPINDLER;Etablissement de santé;;0;3500
LABORATOIRES MAYOLY SPINDLER;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
LABORATOIRES MAYOLY SPINDLER;Presse et média;;175456;740306
Laboratoires THEA;Etablissement de santé;;0;150134
Laboratoires THEA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;2132607
Laboratoires THEA;Presse et média;;0;4610
Laboratoires TONIPHARM SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;;39497
Laboratoires TONIPHARM SARL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;1204158
Laboratoires TONIPHARM SARL;Presse et média;;;1036703
Laboratoires TONIPHARM SARL;Professionnel de santé;;;24825
Laborie Medical Technologies Europe Limited;Professionnel de santé;;7500;9000
Labvoratoire CHAUVIN;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;4100;
Labvoratoire CHAUVIN;Presse et média;;40190;
LCA S.A.;Etablissement de santé;;0;
LDR Médical;Académies, Fondation, sociétés savantes, organismes de conseils;;;70279
LDR Médical;Association professionnel de santé;;0;3084
LDR Médical;Etablissement de santé;;;8372
Leadiant Biosciences SASU;Académies, Fondation, sociétés savantes, organismes de conseils;;9460;9460
Leadiant Biosciences SASU;Association professionnel de santé;;5300;5300
Leadiant Biosciences SASU;Etablissement de santé;;0;
Leadiant Biosciences SASU;Professionnel de santé;;600;
Leica Microsystèmes SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;8000;
Leica Microsystèmes SAS;Etablissement de santé;;3000;
LEN Médical;Professionnel de santé;;2730;
LENTILLES SAS;Association professionnel de santé;;1200;
LEO Pharma;Association usager de santé;;0;
LEO Pharma;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;2326;10102
LEO Pharma;Presse et média;;320663;421832
LEO Pharma A/S;Académies, Fondation, sociétés savantes, organismes de conseils;;55880;55880
LEO Pharma A/S;Association professionnel de santé;;0;15200
LEO Pharma A/S;Etablissement de santé;;0;118037
LEO Pharma A/S;Groupement sanitaire;;0;200
LES EDITIONS DU MEDECIN GENERALISTE;Professionnel de santé;;1200;
LES LABORATOIRES OSTEAL MEDICAL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;24000;9600
LES LABORATOIRES SERVIER;Association d'étudiants;;0;8130
LES LABORATOIRES SERVIER;Editeur de logiciel;;0;33200
LES LABORATOIRES SERVIER;Etablissement de santé;;0;2892249
LES LABORATOIRES SERVIER;Presse et média;;0;6642403
LFB BIOMEDICAMENTS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;21220;96620
LFB BIOMEDICAMENTS;Presse et média;;23250;69918
LFB BIOTECHNOLOGIES;Académies, Fondation, sociétés savantes, organismes de conseils;;367058;427930
LFB BIOTECHNOLOGIES;Etablissement de santé;;0;40114
LFB BIOTECHNOLOGIES;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;360
LFB BIOTECHNOLOGIES;Presse et média;;6426;6426
LG HOMEO;Académies, Fondation, sociétés savantes, organismes de conseils;;385;
LIFE PARTNERS EUROPE;Association professionnel de santé;;0;
LIFE TECHNOLOGIES SAS;Professionnel de santé;;0;
Lifescan;Association professionnel de santé;;0;22200
Lifescan;Association usager de santé;;0;
Lifescan;Etablissement de santé;;2808;2808
LifeScan France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;1000;
LifeScan France SAS;Association professionnel de santé;;19450;
LifeScan France SAS;Association usager de santé;;53400;
LifeScan France SAS;Etablissement de santé;;850;
LifeScan France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;5500;812
Lilly France SAS;Association usager de santé;;93664;183531
Lilly France SAS;Editeur de logiciel;;275149;262071
Lilly France SAS;Etablissement de santé;;470493;3692829
Lilly France SAS;Groupement sanitaire;;762;762
Lilly France SAS;Presse et média;;3011194;5104494
Linical;Etablissement de santé;;0;
LivaNova France SAS;Association professionnel de santé;;34000;
LivaNova France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;159800;
LIVE ! BY GL EVENTS;Académies, Fondation, sociétés savantes, organismes de conseils;;2800;
LOUBSOL;Académies, Fondation, sociétés savantes, organismes de conseils;;1990;
LOURAPH;Académies, Fondation, sociétés savantes, organismes de conseils;;4000;
LOURAPH;Association professionnel de santé;;7800;
LOURAPH;Professionnel de santé;;4808;
LSO MEDICAL;Académies, Fondation, sociétés savantes, organismes de conseils;;8364;6864
LUNDBECK SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;687291;642631
LUNDBECK SAS;Association professionnel de santé;;12450;7450
LUNDBECK SAS;Association usager de santé;;6750;750
LUNDBECK SAS;Etablissement de santé;;2200;2200
LUNDBECK SAS;Presse et média;;0;
LVL MEDICAL EST;Association usager de santé;;840;
LVL MEDICAL GROUPE;Académies, Fondation, sociétés savantes, organismes de conseils;;28080;
LVL MEDICAL GROUPE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;16440;
LVL MEDICAL PARIS ET NORD;Association usager de santé;;500;
Lysogene;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Lysogene;Association usager de santé;;0;
Lysogene;Etablissement de santé;;0;
M3 Global Research Ltd;Professionnel de santé;;0;
MADIS PHILEO;Professionnel de santé;;2200;
Marinus Pharmaceuticals, Inc.;Etablissement de santé;;0;
Mauna Kea Technologies;Groupement sanitaire;;0;
MBAR ASSISTANCE RESPIRATOIRE;Professionnel de santé;;13072;
MECCELLIS BIOTECH;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;24836;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Association d'étudiants;;300;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;8292;
MEDAC SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;68408;
MEDAC SAS;Etablissement de santé;;20000;
MEDACTA FRANCE;Association professionnel de santé;;30000;
MedDay Pharmaceuticals;Académies, Fondation, sociétés savantes, organismes de conseils;;0;3883511
MedDay Pharmaceuticals;Association professionnel de santé;;0;276883
MedDay Pharmaceuticals;Etablissement de santé;;0;253161
MedDay Pharmaceuticals;Presse et média;;0;
Medela France Sarl;Association professionnel de santé;;430;
MEDICAL AXÈS;Académies, Fondation, sociétés savantes, organismes de conseils;;2400;775
MEDICAL AXÈS;Association professionnel de santé;;6000;7500
MEDICAL AXÈS;Etablissement de santé;;6865;17566
MEDICAL IMPLANTS;Professionnel de santé;;3621;
Medicare_HTM;Association usager de santé;;1000;
Medicare_HTM;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;15024;
Medicom Concept;Professionnel de santé;;3089;3089
MEDICONTUR FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;40075;36525
MEDICONTUR FRANCE;Association professionnel de santé;;2000;
MEDICONTUR FRANCE;Etablissement de santé;;2500;2500
MEDICONTUR FRANCE;Presse et média;;1000;1000
MEDICREA INTERNATIONAL;Association professionnel de santé;;6500;
MEDICREA INTERNATIONAL;Etablissement de santé;;;8600
Medicys Limited;Professionnel de santé;;0;
Medline International France SAS;Association professionnel de santé;;10069;
Medline International France SAS;Etablissement de santé;;800;
Medlumics S.L.;Professionnel de santé;;0;
Medtech;Académies, Fondation, sociétés savantes, organismes de conseils;;1200;
Medtech;Association professionnel de santé;;11784;
Medtech;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;11880;
Medtech;Presse et média;;3124;
MEDTRONIC France S.A.S;Académies, Fondation, sociétés savantes, organismes de conseils;;377760;275890
MEDTRONIC France S.A.S;Association professionnel de santé;;1872081;478735
MEDTRONIC France S.A.S;Etablissement de santé;;2128828;1322161
MEDTRONIC France S.A.S;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;30000;
MEDTRONIC France S.A.S;Vétérinaire;;6000;924
MEDTRONIC INTERNATIONAL TRADING SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;52800;19178
MEDTRONIC INTERNATIONAL TRADING SARL;Association professionnel de santé;;1408499;15400
MEDTRONIC INTERNATIONAL TRADING SARL;Etablissement de santé;;1177754;664364
MENARINI FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;4613496
MENARINI FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;4279;4279
MENARINI FRANCE;Presse et média;;0;2062374
MERCK SERONO;Association usager de santé;;20500;20500
MERCK SERONO;Editeur de logiciel;;2400;2400
MERCK SERONO;Presse et média;;88890;88890
MERIAL;Association d'étudiants;;0;
MERIAL;Editeur de logiciel;;;2633
MERIAL;Groupement professionels agricoles;;0;540
Mérieux Université;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;25939;28967
Merit Medical France;Etablissement de santé;;7174;
Merit Medical Netherlands;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;6690;5460
Merit Medical Systems, Inc.;Professionnel de santé;;10000;
Merz Pharma (Schweiz) AG;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;4500;4500
MERZ PHARMA France;Académies, Fondation, sociétés savantes, organismes de conseils;;;16140
MERZ PHARMA France;Association usager de santé;;2000;
MERZ PHARMA France;Etablissement de santé;;;1000
MERZ PHARMACEUTICALS GmbH;Académies, Fondation, sociétés savantes, organismes de conseils;;99890;491701
MERZ PHARMACEUTICALS GmbH;Etablissement de santé;;22658;291594
MERZ PHARMACEUTICALS GmbH;Presse et média;;;5200
MicroPort CRM France SAS;Association professionnel de santé;;33296;
MicroPort CRM France SAS;Etablissement de santé;;0;
MicroPort CRM France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;142312;
MicroVention Europe;Etablissement de santé;;1437714;723292
MicroVention Europe;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;1176517;528899
MicroVention Inc.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;302095;330797
MicroVention Inc.;Professionnel de santé;;90000;
MINMAXMEDICAL;Professionnel de santé;;750;
Minoryx Therapeutics S.L.;Académies, Fondation, sociétés savantes, organismes de conseils;;189471;
Minoryx Therapeutics S.L.;Etablissement de santé;;33941;
MITHRA PHARMACEUTICALS S.A.S;Académies, Fondation, sociétés savantes, organismes de conseils;;12848;41100
MITHRA PHARMACEUTICALS S.A.S;Association professionnel de santé;;23523;42768
MITHRA PHARMACEUTICALS S.A.S;Etablissement de santé;;700;
MITHRA PHARMACEUTICALS S.A.S;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;9700;
Molnlycke Health Care;Association professionnel de santé;;40173;
Molnlycke Health Care;Etablissement de santé;;36386;
MorphoSys AG;Association professionnel de santé;;;5514
MorphoSys AG;Etablissement de santé;;0;43541
MSD VACCINS;Association professionnel de santé;;0;129779
MSD VACCINS;Etudiant;;0;
MSD VACCINS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;1400
MSD VACCINS;Presse et média;;0;15000
MUNDIPHARMA;Editeur de logiciel;;;118138
MUNDIPHARMA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
MUNDIPHARMA;Presse et média;;0;37380
MYLAN MEDICAL SAS;Editeur de logiciel;;0;751816
MYLAN MEDICAL SAS;Presse et média;;301892;1196202
MYLAN SAS;Association d'étudiants;;0;12400
MYLAN SAS;Association professionnel de santé;;0;298918
MYLAN SAS;Editeur de logiciel;;0;236217
MYLAN SAS;Etablissement de santé;;0;8623
MYLAN SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;6750;80851
MYLAN SAS;Presse et média;;0;2174506
NANOBIOTIX S.A.;Association usager de santé;;0;5000
NANOBIOTIX S.A.;Etablissement de santé;;0;597987
Nanostring Technologies, Inc;Etablissement de santé;;0;
Neoma labs SPRL;Professionnel de santé;;0;
NEOVACS;Académies, Fondation, sociétés savantes, organismes de conseils;;40000;
NEOVACS;Association professionnel de santé;;1000;
NEOVII PHARMACEUTICALS AG;Association professionnel de santé;;26000;2000
NESTLE HEALTH SCIENCE FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
NESTLE HOMECARE;Académies, Fondation, sociétés savantes, organismes de conseils;;1000;
Nestle Skin Health;Académies, Fondation, sociétés savantes, organismes de conseils;;976756;
Nestle Skin Health;Presse et média;;36231;
NEURAVI LIMITED;Association professionnel de santé;;;1500
NEURAVI LIMITED;Professionnel de santé;;;2250
NEURAXPHARM FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
NEURELEC;Association professionnel de santé;;0;
NEURVANA MEDICAL LLC;Professionnel de santé;;500;
NEWCLIP TECHNICS;Professionnel de santé;;1000;
Newdeal;Professionnel de santé;;;5592
NIDEK SA;Académies, Fondation, sociétés savantes, organismes de conseils;;5000;
NIDEK SA;Association d'étudiants;;3150;
NIDEK SA;Association professionnel de santé;;28108;
NIDEK SA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
NOBEL BIOCARE FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;250;
NOBEL BIOCARE FRANCE SAS;Association professionnel de santé;;62300;10045
NOBEL BIOCARE FRANCE SAS;Etablissement de santé;;17970;
Nordic Nanovector ASA;Association professionnel de santé;;;2924
NORDIC PHARMA SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;112854
NORDIC PHARMA SAS;Etablissement de santé;;0;350
NORDIC PHARMA SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;357001
NORGINE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;20000;421076
NORGINE SAS;Association professionnel de santé;;10000;48790
NORGINE SAS;Etablissement de santé;;;10486
NORGINE SAS;Presse et média;;0;29178
NOVATECH SA;Association professionnel de santé;;5722;
NOVATECH SA;Presse et média;;4428;
NOVO NORDISK;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
NOVO NORDISK;Presse et média;;0;88038
Novo Nordisk Production SAS;Association usager de santé;;30500;
nuaxia Limited;Professionnel de santé;;2500;
NUKLEUS;Professionnel de santé;;3200;
NUTRICIA Nutrition Clinique;Académies, Fondation, sociétés savantes, organismes de conseils;;0;1100
NUTRICIA Nutrition Clinique;Association professionnel de santé;;0;18500
NUTRICIA Nutrition Clinique;Association usager de santé;;;1500
OBIONE;Académies, Fondation, sociétés savantes, organismes de conseils;;1660;4425
OBIONE;Association professionnel de santé;;3520;5120
OBIONE;Association usager de santé;;2550;2550
OBIONE;Presse et média;;5343;6536
Observia SAS;Professionnel de santé;;0;7575
Occurrence Healthcare;Professionnel de santé;;6620;
OCEAN TERRE BIOTECHNOLOGIE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;13220;
OCP REPARTITION;Association d'étudiants;;9150;
OCP REPARTITION;Association professionnel de santé;;500;
Octapharma France;Académies, Fondation, sociétés savantes, organismes de conseils;;0;196991
Octapharma France;Association d'étudiants;;0;12500
Octapharma France;Presse et média;;0;8076
ODALYS SANTE;Professionnel de santé;;27395;
OLEA MEDICAL S.A;Association professionnel de santé;;;2000
OLEA MEDICAL S.A;Professionnel de santé;;1500;1500
OLYMPUS EUROPA SE & CO. KG;Académies, Fondation, sociétés savantes, organismes de conseils;;3700;
OLYMPUS EUROPA SE & CO. KG;Etablissement de santé;;0;
OLYMPUS France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;262693;
OLYMPUS France SAS;Association professionnel de santé;;76973;4002
OLYMPUS France SAS;Etablissement de santé;;8940;
OLYMPUS France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;20000;
OLYMPUS France SAS;Presse et média;;12200;
Oncopeptides AB;Etablissement de santé;;0;
ONXEO;Académies, Fondation, sociétés savantes, organismes de conseils;;0;309847
ONXEO;Etablissement de santé;;0;450245
ONXEO;Vétérinaire Personne Morale;;;44044
Ophtalmic Compagnie;Association professionnel de santé;;4190;6290
Ophtalmic Compagnie;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;15000
Ophtalmic Compagnie;Presse et média;;64020;61272
OptiMed SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;11650;11650
OptiMed SARL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;11520;11520
OPUSLINE;Association usager de santé;;0;250
OPUSLINE;Professionnel de santé;;0;6550
ORGENTEC SAS;Association professionnel de santé;;0;
Orion Corporation Orion Pharma;Etablissement de santé;;;4227
Orion Corporation Orion Pharma;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
ORMCO FRANCE SAS;Etablissement de santé;;25340;
ORMCO FRANCE SAS;Presse et média;;19464;
Orphan Europe;Etablissement de santé;;1352;
OSE Immunotherapeutics;Etablissement de santé;;0;
OsteoMed LLC;Professionnel de santé;;0;
OTB COSMESOAP;Académies, Fondation, sociétés savantes, organismes de conseils;;1910;
OTB COSMETICS;Académies, Fondation, sociétés savantes, organismes de conseils;;7240;
OTB COSMETICS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
Oxford Immunotec Ltd;Académies, Fondation, sociétés savantes, organismes de conseils;;7279;14250
Oxford Immunotec Ltd;Association professionnel de santé;;7200;7200
Oxford Immunotec Ltd;Presse et média;;4590;4590
P&G HEALTH FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;3600;73382
PALL FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;13531;
PALL FRANCE;Association professionnel de santé;;1240;
PALL FRANCE;Association usager de santé;;415;
PALL FRANCE;Etablissement de santé;;592;
PALL FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;6136;
PANPHARMA;Association professionnel de santé;;10000;
PAREXEL International;Etablissement de santé;;8085903;1410939
PARI PULMOMED;Académies, Fondation, sociétés savantes, organismes de conseils;;4300;
PARI PULMOMED;Association professionnel de santé;;21200;
PARI PULMOMED;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;2500;
PARI PULMOMED;Presse et média;;6900;
PASCALEO;Professionnel de santé;;0;168054
PAUL HARTMANN SA;Académies, Fondation, sociétés savantes, organismes de conseils;;1680;19846
PAUL HARTMANN SA;Association usager de santé;;0;2800
PAUL HARTMANN SA;Etablissement de santé;;0;1000
PAUL HARTMANN SA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;3600
PENTAX MEDICAL;Académies, Fondation, sociétés savantes, organismes de conseils;;18300;
PENTAX MEDICAL;Etablissement de santé;;0;
Penumbra, Inc.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;5000;5000
PETERS SURGICAL;Académies, Fondation, sociétés savantes, organismes de conseils;;;3000
PETERS SURGICAL;Etudiant;;300;
PFIZER PFE FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;39600
PFIZER PFE FRANCE;Editeur de logiciel;;0;42000
PFIZER PFE FRANCE;Etablissement de santé;;0;29014
PFIZER PFE FRANCE;Presse et média;;0;179751
PFIZER SAS;Association d'étudiants;;0;5000
PFIZER SAS;Presse et média;;0;2346573
PFM MEDICAL FRANCE;Association professionnel de santé;;4000;5000
PHADIA GmbH;Etablissement de santé;;8000;
Pharm-Olam International (France);Association professionnel de santé;;6627;15141
Pharm-Olam International (France);Etablissement de santé;;457082;653180
PHARMA MAR S.A.R.L.;Académies, Fondation, sociétés savantes, organismes de conseils;;10000;
PHARMA MAR S.A.R.L.;Association professionnel de santé;;4300;500
PHARMA MAR S.A.R.L.;Etablissement de santé;;1500;
PHARMA MAR S.A.R.L.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;26220;
Pharmacyclics LLC;Académies, Fondation, sociétés savantes, organismes de conseils;;;818
Pharmacyclics LLC;Etablissement de santé;;;176782
PHASE 5 Editions médicales;Professionnel de santé;;6600;
Philips France Commercial;Association d'étudiants;;43250;42150
Philips France Commercial;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;145805;75355
Philips France Commercial;Presse et média;;600;600
Philips Santé@Domicile;Association professionnel de santé;;2000;8000
PHOENIX PHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;;4000;
PHOENIX PHARMA;Association d'étudiants;;7800;
PHOENIX PHARMA;Association professionnel de santé;;32912;
PHOENIX PHARMA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;150;
PHONAK FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;27090;
PHR Lab;Professionnel de santé;;0;
PIERRE FABRE MEDICAMENT;Académies, Fondation, sociétés savantes, organismes de conseils;;0;3670330
PIERRE FABRE MEDICAMENT;Association professionnel de santé;;0;360439
PIERRE FABRE MEDICAMENT;Etablissement de santé;;0;22060
PIERRE FABRE MEDICAMENT;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;36545
PIERRE FABRE MEDICAMENT;Presse et média;;0;365171
PIERRE FABRE SA;Académies, Fondation, sociétés savantes, organismes de conseils;;0;117738
PILEJE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;17041
PILEJE;Presse et média;;0;31322
PM SANTE;Professionnel de santé;;0;1400
Pôle Cosmétique;Vétérinaire;;0;
PPD FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;;371
PPD FRANCE SAS;Association professionnel de santé;;0;135823
PPD FRANCE SAS;Etablissement de santé;;0;5425169
PPD FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;416694
PPD FRANCE SAS;Professionnel de santé;;0;90940
PR EDITIONS SAS;Professionnel de santé;;;117357
PREGLEM;Etablissement de santé;;0;1395
Premier Research;Etablissement de santé;;72580;
PROCEPT BioRobotics Corporation;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;4800;7000
PROMEGA FRANCE;Association professionnel de santé;;2200;
PROMOGEN;Association professionnel de santé;;7000;7000
PROMOGEN;Presse et média;;3070;3070
PROTHEOS INDUSTRIE;Presse et média;;;6200
PROVEPHARM;Académies, Fondation, sociétés savantes, organismes de conseils;;36000;12000
PROVEPHARM;Presse et média;;0;17632
Provepharm Life Solutions;Etablissement de santé;;;4500
PSI CRO FRANCE;Association professionnel de santé;;0;3150
PTC FARMACEUTICA DO BRASIL LTDA;Professionnel de santé;;1516;
PTC Therapeutics International Ltd;Etablissement de santé;;1155;
PUBLICIS LIFE BRANDS;Professionnel de santé;;3600;3560
Puma Biotechnology;Etablissement de santé;;188138;1199
Puma Biotechnology;Professionnel de santé;;5760;
PURESSENTIEL;Professionnel de santé;;140000;
Qiagen France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;2000;2000
Qiagen France SAS;Association professionnel de santé;;300;1400
QualWorld;Professionnel de santé;;73535;
QUANTA MEDCIAL;Association usager de santé;;0;
QUINTILES BENEFIT FRANCE SNC;Association professionnel de santé;;0;
QUINTILES BENEFIT FRANCE SNC;Etablissement de santé;;0;
QUINTILES BENEFIT FRANCE SNC;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
QUINTILES BENEFIT FRANCE SNC;Professionnel de santé;;0;
RADENKOVIC SACHA;Etudiant;;18;
RADENKOVIC SACHA;Professionnel de santé;;180;
RANBAXY PHARMACIE GENERIQUES;Académies, Fondation, sociétés savantes, organismes de conseils;;61000;44000
RANBAXY PHARMACIE GENERIQUES;Association professionnel de santé;;13950;3950
RANBAXY PHARMACIE GENERIQUES;Presse et média;;65311;65311
RE-IMAGINE Health Agency;Etablissement de santé;;0;3750
Reckitt Benckiser Healthcare France;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;1368;
Reckitt Benckiser Healthcare France;Presse et média;;0;
ReCor Medical Inc;Professionnel de santé;;0;
